aearep,key,value
aearep-248,docount,99
aearep-248,adocount,66
aearep-248,adofile,grqreg.ado
aearep-248,adofile,mdesc.ado
aearep-248,adofile,gssuwtest.ado
aearep-248,adofile,frmttable.ado
aearep-248,adofile,outreg.ado
aearep-248,adofile,estout.ado
aearep-248,adofile,gssugetrdone.ado
aearep-248,adofile,wyoung.ado
aearep-248,adofile,gssutest.ado
aearep-248,adofile,qreg2.ado
aearep-248,adofile,intscoretest.ado
aearep-248,adofile,outreg2_prf.ado
aearep-248,adofile,outreg2.ado
aearep-248,adofile,outreg.ado
aearep-248,adofile,_olsci.ado
aearep-248,adofile,_qregtrace.ado
aearep-248,adofile,_sqregtrace.ado
aearep-248,adofile,_bsqregtrace.ado
aearep-248,adofile,grqreg.ado
aearep-248,adofile,xml_tab.ado
aearep-248,adofile,nlabel.ado
aearep-248,adofile,frmttable.ado
aearep-248,adofile,filelist.ado
aearep-248,adofile,fsum.ado
aearep-248,adofile,qreg2.ado
aearep-248,adofile,seeout.ado
aearep-248,adofile,shellout.ado
aearep-248,adofile,coefplot.ado
aearep-248,adofile,distinct.ado
aearep-248,adofile,grqreg.ado
aearep-248,adofile,mdesc.ado
aearep-248,adofile,gssuwtest.ado
aearep-248,adofile,frmttable.ado
aearep-248,adofile,outreg.ado
aearep-248,adofile,estout.ado
aearep-248,adofile,gssugetrdone.ado
aearep-248,adofile,wyoung.ado
aearep-248,adofile,gssutest.ado
aearep-248,adofile,qreg2.ado
aearep-248,adofile,intscoretest.ado
aearep-248,adofile,distinct.ado
aearep-248,adofile,filelist.ado
aearep-248,adofile,mdesc.ado
aearep-248,adofile,outreg.ado
aearep-248,adofile,_eststo.ado
aearep-248,adofile,_olsci.ado
aearep-248,adofile,_qregtrace.ado
aearep-248,adofile,_sqregtrace.ado
aearep-248,adofile,_bsqregtrace.ado
aearep-248,adofile,intscoretest.ado
aearep-248,adofile,estadd.ado
aearep-248,adofile,estpost.ado
aearep-248,adofile,esttab.ado
aearep-248,adofile,eststo.ado
aearep-248,adofile,estout.ado
aearep-248,adofile,grqreg.ado
aearep-248,adofile,gssuwtest.ado
aearep-248,adofile,gssugetrdone.ado
aearep-248,adofile,gssutest.ado
aearep-248,adofile,nlabel.ado
aearep-248,adofile,frmttable.ado
aearep-248,adofile,fsum.ado
aearep-248,adofile,qreg2.ado
aearep-248,adofile,coefplot.ado
aearep-248,adofile,distinct.ado
aearep-248,adofile,wyoung.ado
