aearep,key,value
aearep-100,docount,0
aearep-1001,docount,0
aearep-1009,docount,10
aearep-1009,dolines,5029
aearep-1009,adocount,3
aearep-1009,adofile,ineqdec0.ado
aearep-1009,adofile,ineqdec05.ado
aearep-1009,adofile,leebounds.ado
aearep-1015,docount,15
aearep-1015,dolines,1353
aearep-1015,adocount,16
aearep-1015,adofile,_eststo.ado
aearep-1015,adofile,ineqdeco.ado
aearep-1015,adofile,ineqdeco5.ado
aearep-1015,adofile,estadd.ado
aearep-1015,adofile,estpost.ado
aearep-1015,adofile,esttab.ado
aearep-1015,adofile,eststo.ado
aearep-1015,adofile,estout.ado
aearep-1015,adofile,artest.ado
aearep-1015,adofile,boottest.ado
aearep-1015,adofile,scoretest.ado
aearep-1015,adofile,coefplot.ado
aearep-1015,adofile,waldtest.ado
aearep-1015,adofile,filelist.ado
aearep-1015,adofile,filelist.ado
aearep-1015,adofile,coefplot.ado
aearep-1016,docount,7
aearep-1016,dolines,1990
aearep-1016,adocount,1
aearep-1016,adofile,filelist.ado
aearep-1019,docount,26
aearep-1019,dolines,2711
aearep-1019,adocount,3
aearep-1019,adofile,filelist.ado
aearep-1022,docount,24
aearep-1022,dolines,3508
aearep-1022,adocount,131
aearep-1022,adofile,ms_add_comma.ado
aearep-1022,adofile,ms_parse_vce.ado
aearep-1022,adofile,ms_parse_absvars.ado
aearep-1022,adofile,ms_parse_varlist.ado
aearep-1022,adofile,ms_get_version.ado
aearep-1022,adofile,ms_compile_mata.ado
aearep-1022,adofile,ms_expand_varlist.ado
aearep-1022,adofile,ms_fvunab.ado
aearep-1022,adofile,ms_fvstrip.ado
aearep-1022,adofile,join.ado
aearep-1022,adofile,_eststo.ado
aearep-1022,adofile,estadd.ado
aearep-1022,adofile,estpost.ado
aearep-1022,adofile,esttab.ado
aearep-1022,adofile,eststo.ado
aearep-1022,adofile,estout.ado
aearep-1022,adofile,estfe.ado
aearep-1022,adofile,artest.ado
aearep-1022,adofile,reghdfe.ado
aearep-1022,adofile,reghdfe_store_alphas.ado
aearep-1022,adofile,reghdfe_parse.ado
aearep-1022,adofile,reghdfe_p.ado
aearep-1022,adofile,reghdfe_estat.ado
aearep-1022,adofile,reghdfe_footnote.ado
aearep-1022,adofile,reghdfe_header.ado
aearep-1022,adofile,reghdfe_old_estat.ado
aearep-1022,adofile,reghdfe_old_footnote.ado
aearep-1022,adofile,reghdfe_old.ado
aearep-1022,adofile,reghdfe_old_p.ado
aearep-1022,adofile,boottest.ado
aearep-1022,adofile,local_inlist.ado
aearep-1022,adofile,fmerge.ado
aearep-1022,adofile,fegen.ado
aearep-1022,adofile,fsort.ado
aearep-1022,adofile,ftab.ado
aearep-1022,adofile,fisid.ado
aearep-1022,adofile,flevelsof.ado
aearep-1022,adofile,fcollapse.ado
aearep-1022,adofile,fegen_group.ado
aearep-1022,adofile,ftools.ado
aearep-1022,adofile,freshape.ado
aearep-1022,adofile,scoretest.ado
aearep-1022,adofile,waldtest.ado
aearep-1022,adofile,filelist.ado
aearep-1022,adofile,ms_add_comma.ado
aearep-1022,adofile,ms_parse_vce.ado
aearep-1022,adofile,ms_parse_absvars.ado
aearep-1022,adofile,ms_parse_varlist.ado
aearep-1022,adofile,ms_get_version.ado
aearep-1022,adofile,ms_compile_mata.ado
aearep-1022,adofile,ms_expand_varlist.ado
aearep-1022,adofile,ms_fvunab.ado
